Year,Type,Cost Center,Department,Object Account,Account Description,Subledger Type,Subledger,Subledger Description,Amount
2020,Revenue,107000,FINANCE,41101,REAL ESTATE-CURRENT YEAR, , ,,-145498855.2
2020,Revenue,107000,FINANCE,41105,REAL ESTATE- PRIOR YEAR, , ,,-4112376.11
2020,Revenue,107000,FINANCE,41108,P/I - REAL ESTATE TAX, , ,,-468594.02
2020,Revenue,107000,FINANCE,41201,LST- CURRENT YEAR, , ,,-10730872.57
2020,Revenue,107000,FINANCE,41205,LST- PRIOR YEAR, , ,,-4062459.91
2020,Revenue,107000,FINANCE,41208,P/I- LOCAL SERVICE TAX, , ,,-83837.26
2020,Revenue,107000,FINANCE,41311,AMUSEMENT TAX - CURRENT YEAR, , ,,-17627059.05
2020,Revenue,107000,FINANCE,41315,AMUSEMENT TAX- PRIOR YEAR, , ,,-687606.21
2020,Revenue,107000,FINANCE,41318,P/I- AMUSEMENT TAX, , ,,-33308.72
2020,Revenue,107000,FINANCE,41411,EIT- CURRENT YEAR, , ,,-106635868.6
2020,Revenue,107000,FINANCE,41412,EIT-SCHOOL SUBSIDY, , ,,-717.4
2020,Revenue,107000,FINANCE,41415,EIT- PRIOR YEAR, , ,,-195.62
2020,Revenue,107000,FINANCE,41418,P/I - EIT, , ,,-493.64
2020,Revenue,107000,FINANCE,41419,P/I-PGH40 TAX, , ,,-1803.74
2020,Revenue,107000,FINANCE,41421,FUF-CURRENT YEAR, , ,,-4363531.16
2020,Revenue,107000,FINANCE,41425,FUF- PRIOR YEAR, , ,,-1089777.16
2020,Revenue,107000,FINANCE,41428,P/I- FACILITY USAGE FEE, , ,,-9217.5
2020,Revenue,107000,FINANCE,41441,PAYROLL PREPARATION TAX-CURREN, , ,,-50599507.81
2020,Revenue,107000,FINANCE,41445,PAYROLL PREPARATION-PRIOR YEAR, , ,,-20072504.42
2020,Revenue,107000,FINANCE,41448,P/I - PAYROLL PREPREATION TAX, , ,,-412407.55
2020,Revenue,107000,FINANCE,41451,DEED TRANSFER TAX, , ,,-43792752.37
2020,Revenue,107000,FINANCE,41551,PARKING TAX- CURRENT YEAR, , ,,-54495184.33
2020,Revenue,107000,FINANCE,41555,PARKING TAX- PRIOR YEAR, , ,,-4738730.94
2020,Revenue,107000,FINANCE,41558,P/I- PARKING TAX, , ,,-55940.14
2020,Revenue,107000,FINANCE,41601,ISPT- CURRENT YEAR, , ,,-655781.29
2020,Revenue,107000,FINANCE,41605,ISPT- PRIOR YEAR, , ,,-121.9
2020,Revenue,107000,FINANCE,41608,P/I- INSITUTION AND SERVICE PR, , ,,-104.12
2020,Revenue,600000,MOBILITY AND INFRASTRUCTURE,41658,PSP FEE/ TELECOMM LICENSING, , ,,-1206147.55
2020,Revenue,107000,FINANCE,41701,ACT 77 - RAD TAX RELIEF, , ,,-23496826.85
2020,Revenue,107000,FINANCE,41905,NON-PROFIT PAYMENT FOR MUNICIA, , ,,-531061.83
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42103,POKER MACHINES, , ,,-48635.69
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42104,AMUSEMENT PLACE, , ,,-100115.29
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42107,GENERAL CONTRACTOR, , ,,-72232.06
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42111,MECH DEVICE-GAMBLING, , ,,-125727.68
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42112,AMUSEMENT PRODUCER, , ,,-26
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42113,ELECTRICAL TRADE, , ,,-183919.95
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42115,MECH DEVICE-JUKE BOX, , ,,-52841.06
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42116,FIRE SUPPRESSION TRADE, , ,,-2066
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42119,LIQUOR & MALT BEVERAGE LICENSE, , ,,-446860.14
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42121,PARKING LOT LICENSE, , ,,-41572.33
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42123,PAWN BROKER LICENSE, , ,,-1613
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42125,MECH DEVICE-POOL TABLE, , ,,-32246.75
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42127,SECONDHAND DEALER, , ,,-7362
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42131,STATIONARY ENG LICENSE, , ,,-111509.9
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42133,TRADE FAIR LICENSE, , ,,-1786.3
2020,Revenue,130000,PERMITS LICENSES AND INSPECTIONS,42135,TRANSIENT MERCHANT, , ,,-674
2020,Revenue,600000,MOBILITY AND INFRASTRUCTURE,42136,VALET LICENSE, , ,,-11670.08
