Year,Type,Cost Center,Department,Object Account,Account Description,Subledger Type,Subledger,Subledger Description,Amount
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D0 ,CC-General,-45308.63
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D1 ,CC-Council District 1,68153.07
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D2 ,CC-Council District 2,68153.07
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D3 ,CC-Council District 3,68153.07
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D4 ,CC-Council District 4,68153.07
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D5 ,CC-Council District 5,68153.07
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D6 ,CC-Council District 6,68153.07
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D7 ,CC-Council District 7,68153.07
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D8 ,CC-Council District 8,68153.07
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D9 ,CC-Council District 9,68153.07
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D1 ,CC-Council District 1,175106.672
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D3 ,CC-Council District 3,198223.792
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D2 ,CC-Council District 2,182334.256
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D5 ,CC-Council District 5,197312.128
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D4 ,CC-Council District 4,191638.512
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D6 ,CC-Council District 6,182793.52
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D8 ,CC-Council District 8,199737.408
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D9 ,CC-Council District 9,173835.792
2022,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D7 ,CC-Council District 7,171627.872
2022,Expenditure,101100,CITY COUNCIL,51203,ALLOWANCES,S,D0 ,CC-General,112759.4
2022,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D1 ,CC-Council District 1,16412.16
2022,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D3 ,CC-Council District 3,24618.24
2022,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D8 ,CC-Council District 8,32824.08
2022,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D6 ,CC-Council District 6,49236
2022,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D9 ,CC-Council District 9,65647.92
2022,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D7 ,CC-Council District 7,8206.08
2022,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D5 ,CC-Council District 5,24618.24
2022,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D4 ,CC-Council District 4,41030.16
2022,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D2 ,CC-Council District 2,8206.08
2022,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D8 ,CC-Council District 8,3894.077675
2022,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D9 ,CC-Council District 9,3975.696339
2022,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D4 ,CC-Council District 4,4002.776435
2022,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D2 ,CC-Council District 2,3339.728453
2022,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D5 ,CC-Council District 5,3821.894553
2022,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D6 ,CC-Council District 6,4028.002857
2022,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D7 ,CC-Council District 7,3088.960005
2022,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D1 ,CC-Council District 1,3294.886466
2022,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D3 ,CC-Council District 3,3837.525672
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D1 ,CC-Council District 1,5213.709855
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D2 ,CC-Council District 2,5213.709855
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D3 ,CC-Council District 3,5213.709855
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D4 ,CC-Council District 4,5213.709855
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D5 ,CC-Council District 5,5213.709855
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D6 ,CC-Council District 6,5213.709855
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D7 ,CC-Council District 7,5213.709855
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D8 ,CC-Council District 8,5213.709855
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D9 ,CC-Council District 9,5213.709855
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D0 ,CC-General,2601
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D8 ,CC-Council District 8,15279.91171
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D9 ,CC-Council District 9,13298.43809
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D6 ,CC-Council District 6,13983.70428
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D7 ,CC-Council District 7,13129.53221
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D4 ,CC-Council District 4,14660.34617
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D3 ,CC-Council District 3,15164.12009
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D2 ,CC-Council District 2,13948.57058
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D5 ,CC-Council District 5,15094.37779
2022,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D1 ,CC-Council District 1,13395.66041
2022,Expenditure,101100,CITY COUNCIL,52305,INDEMNITY - W/C,S,D0 ,CC-General,11755
2022,Expenditure,101100,CITY COUNCIL,52601,PERSONAL LEAVE BUYBACK,S,D0 ,CC-General,34000
2022,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D1 ,CC-Council District 1,4444.44444
2022,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D2 ,CC-Council District 2,4444.44444
2022,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D3 ,CC-Council District 3,4444.44444
2022,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D4 ,CC-Council District 4,4444.44444
2022,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D5 ,CC-Council District 5,4444.44444
2022,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D6 ,CC-Council District 6,4444.44444
2022,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D7 ,CC-Council District 7,4444.44444
2022,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D8 ,CC-Council District 8,4444.44444
2022,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D9 ,CC-Council District 9,4444.44444
2022,Expenditure,101200,CITY CLERK,51101,REGULAR,S,CC0 ,CC-General,1280538.688
2022,Expenditure,101200,CITY CLERK,51101,REGULAR,,,,-71340
2022,Expenditure,101200,CITY CLERK,52101,HEALTH INSURANCE,S,CC0 ,CC-General,188316.48
2022,Expenditure,101200,CITY CLERK,52111,OTHER INSUR/BENEFITS,S,CC0 ,CC-General,25366.97219
2022,Expenditure,101200,CITY CLERK,52201,SOCIAL SECURITY,S,CC0 ,CC-General,97961.20963
2022,Expenditure,101200,CITY CLERK,52201,SOCIAL SECURITY,S,CC0 ,CC-General,5354.379709
2022,Expenditure,101200,CITY CLERK,52601,PERSONAL LEAVE BUYBACK,S,CC0 ,CC-General,23000
2022,Expenditure,101200,CITY CLERK,52602,TUITION REIMBURSEMENT,S,CC0 ,CC-General,2000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC2 ,CC-Council District 2,11000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC3 ,CC-Council District 3,11000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC4 ,CC-Council District 4,11000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC5 ,CC-Council District 5,11000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC6 ,CC-Council District 6,11000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC7 ,CC-Council District 7,11000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC8 ,CC-Council District 8,11000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC9 ,CC-Council District 9,11000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC0 ,CC-General,5500
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC0 ,CC-General,15000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC0 ,CC-General,3000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC0 ,CC-General,7000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC1 ,CC-Council District 1,11000
2022,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,,CC0 ,,2500
2022,Expenditure,101200,CITY CLERK,53301,WORKFORCE TRAINING,S,CC0 ,CC-General,6500
2022,Expenditure,101200,CITY CLERK,53301,WORKFORCE TRAINING,S,CC0 ,CC-General,4000
2022,Expenditure,101200,CITY CLERK,53501,AUDITING & ACCOUNTING SERVICE,S,CC0 ,CC-General,2000
2022,Expenditure,101200,CITY CLERK,53501,AUDITING & ACCOUNTING SERVICE,S,CC0 ,CC-General,16500
2022,Expenditure,101200,CITY CLERK,53509,COMPUTER MAINTANACE,S,CC0 ,CC-General,13400
2022,Expenditure,101200,CITY CLERK,53509,COMPUTER MAINTANACE,S,CC0 ,CC-General,0
2022,Expenditure,101200,CITY CLERK,53509,COMPUTER MAINTANACE,S,CC0 ,CC-General,58034
2022,Expenditure,101200,CITY CLERK,53509,COMPUTER MAINTANACE,S,CC0 ,CC-General,1300
2022,Expenditure,101200,CITY CLERK,53509,COMPUTER MAINTANACE,S,CC0 ,CC-General,55000
2022,Expenditure,101200,CITY CLERK,53517,LEGAL FEES,S,CC0 ,CC-General,50000
2022,Expenditure,101200,CITY CLERK,53529,PROTECTIVE / INVESTIGATION,S,CC0 ,CC-General,1000
2022,Expenditure,101200,CITY CLERK,53901,PROFESSIONAL SERVICES - CONVER,S,CC0 ,CC-General,15600
2022,Expenditure,101200,CITY CLERK,54101,CLEANING,S,CC0 ,CC-General,1600
2022,Expenditure,101200,CITY CLERK,54207,CONSTRUCTION,S,CC0 ,CC-General,25000
